latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
16.57936,100.64649,338.49,0.39,0.37,2026-08-26,0642,N20,nominal,2.0NRT,283.47,2.69,D
25.9761,98.46784,332.93,0.4,0.37,2026-08-26,0644,N20,nominal,2.0NRT,294.06,3.12,D
25.9785,98.46692,331.16,0.4,0.37,2026-08-26,0644,N20,nominal,2.0NRT,294.42,2.91,D
25.99184,98.46468,334.68,0.4,0.37,2026-08-26,0644,N20,nominal,2.0NRT,297.51,6.02,D
28.49703,97.02328,345.19,0.39,0.36,2026-08-26,0646,N20,nominal,2.0NRT,299.07,4.99,D
29.55459,90.96119,328.88,0.55,0.43,2026-08-26,0646,N20,nominal,2.0NRT,298.85,5.28,D
30.94408,99.61243,335.38,0.47,0.4,2026-08-26,0646,N20,nominal,2.0NRT,299.59,4.63,D
5.5969,95.37653,333.36,0.5,0.49,2026-08-26,0640,N20,nominal,2.0NRT,302.31,2.84,D
13.27834,101.19604,335.14,0.39,0.36,2026-08-26,0640,N20,nominal,2.0NRT,291.68,2.56,D
13.7255,100.98538,331.61,0.39,0.36,2026-08-26,0640,N20,nominal,2.0NRT,292.06,3.28,D
13.97668,101.12209,330.6,0.39,0.36,2026-08-26,0640,N20,nominal,2.0NRT,293.03,3.72,D
14.14062,100.8563,333.22,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,292.99,2.72,D
14.14008,100.85273,334.31,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,292.54,2.72,D
14.07343,100.36465,343.28,0.38,0.36,2026-08-26,0642,N20,nominal,2.0NRT,293.08,4.05,D
14.24363,100.63868,332.59,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,294.63,1.76,D
14.24721,100.63791,338.37,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,295,3.12,D
14.30932,100.78165,332.32,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,293.39,2.9,D
14.68309,100.53425,331.04,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,284.83,2.88,D
14.8553,100.18916,338.84,0.38,0.36,2026-08-26,0642,N20,nominal,2.0NRT,286.33,6.33,D
16.02056,100.03659,330.88,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,292.5,1.92,D
16.03323,100.03088,351.15,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,292.21,9,D
16.03707,100.03394,333.04,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,290.51,4.02,D
16.07654,100.07156,336.04,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,292.08,6.28,D
16.10529,100.19547,333.61,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,290.11,2.09,D
16.10881,99.94534,343.38,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,296.39,18.31,D
16.11211,99.9448,332.88,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,293.49,3.01,D
16.17273,100.214,333.63,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,289.82,2.7,D
16.15709,99.97417,338.53,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,291.37,3.2,D
16.20606,99.96262,333.65,0.39,0.36,2026-08-26,0642,N20,nominal,2.0NRT,291.13,1.18,D
8.01057,81.09593,331.49,0.39,0.44,2026-08-26,0820,N20,nominal,2.0NRT,277.6,6.4,D
7.86461,79.9641,335.7,0.5,0.41,2026-08-26,0820,N20,nominal,2.0NRT,289.31,2.47,D
8.20856,81.02636,332.46,0.39,0.44,2026-08-26,0820,N20,nominal,2.0NRT,292.81,4.4,D
8.1289,80.0549,338.64,0.51,0.41,2026-08-26,0820,N20,nominal,2.0NRT,293.7,5.51,D
8.28923,80.15002,330.6,0.52,0.42,2026-08-26,0820,N20,nominal,2.0NRT,291.8,3.92,D
8.36776,80.28935,331.15,0.53,0.42,2026-08-26,0820,N20,nominal,2.0NRT,295.25,4.52,D
8.45122,80.81182,333.38,0.57,0.43,2026-08-26,0820,N20,nominal,2.0NRT,288.36,4.62,D
8.47738,80.69013,330.69,0.56,0.43,2026-08-26,0820,N20,nominal,2.0NRT,288.47,3.52,D
8.57087,80.89142,334.75,0.39,0.44,2026-08-26,0820,N20,nominal,2.0NRT,292.59,4.4,D
8.53845,80.41251,341.52,0.54,0.42,2026-08-26,0820,N20,nominal,2.0NRT,292.04,6.76,D
8.62436,80.88211,339.35,0.39,0.44,2026-08-26,0820,N20,nominal,2.0NRT,293.42,4.69,D
8.69085,80.84747,330.61,0.39,0.44,2026-08-26,0820,N20,nominal,2.0NRT,291.76,1.88,D
8.66584,80.63694,336.35,0.56,0.43,2026-08-26,0820,N20,nominal,2.0NRT,293.19,4.08,D
8.73697,80.79823,343.3,0.38,0.43,2026-08-26,0820,N20,nominal,2.0NRT,296.72,7.13,D
8.74096,80.79766,341.85,0.38,0.43,2026-08-26,0820,N20,nominal,2.0NRT,295.2,5.41,D
8.7949,81.09161,340.56,0.4,0.44,2026-08-26,0820,N20,nominal,2.0NRT,297.21,2.88,D
8.77647,80.87511,343.14,0.39,0.44,2026-08-26,0820,N20,nominal,2.0NRT,294.02,5.23,D
8.74527,80.65717,334.43,0.56,0.43,2026-08-26,0820,N20,nominal,2.0NRT,289.07,10.18,D
8.74453,80.65204,334.42,0.56,0.43,2026-08-26,0820,N20,nominal,2.0NRT,295.26,13.98,D
8.80721,80.58835,349.01,0.56,0.43,2026-08-26,0820,N20,nominal,2.0NRT,296.59,17.72,D
8.80649,80.58329,335.29,0.56,0.43,2026-08-26,0820,N20,nominal,2.0NRT,296,8.83,D
8.81115,80.5878,347.39,0.56,0.43,2026-08-26,0820,N20,nominal,2.0NRT,295.85,11.02,D
8.83608,80.67843,338.57,0.57,0.43,2026-08-26,0820,N20,nominal,2.0NRT,294.82,8.44,D
8.87576,80.67297,351.91,0.57,0.43,2026-08-26,0822,N20,nominal,2.0NRT,297.59,15.06,D
8.87502,80.66782,340.41,0.57,0.43,2026-08-26,0822,N20,nominal,2.0NRT,296.57,10.19,D
8.87436,80.67086,352.69,0.57,0.43,2026-08-26,0822,N20,nominal,2.0NRT,296.61,10.18,D
8.87833,80.67032,336.94,0.57,0.43,2026-08-26,0822,N20,nominal,2.0NRT,296.45,10.18,D
8.89322,80.57399,335.88,0.56,0.43,2026-08-26,0822,N20,nominal,2.0NRT,292.36,4.31,D
8.99573,80.83981,335.46,0.39,0.44,2026-08-26,0822,N20,nominal,2.0NRT,296.9,2.25,D
8.95326,80.37337,331.91,0.55,0.42,2026-08-26,0822,N20,nominal,2.0NRT,293.74,4.33,D
8.95257,80.36842,331.42,0.55,0.42,2026-08-26,0822,N20,nominal,2.0NRT,295.29,4.33,D
9.00394,80.68155,336.08,0.57,0.43,2026-08-26,0822,N20,nominal,2.0NRT,291.79,7.59,D
9.03975,80.67662,336.58,0.57,0.43,2026-08-26,0822,N20,nominal,2.0NRT,297.05,7.94,D
9.07868,80.46973,333.04,0.56,0.43,2026-08-26,0822,N20,nominal,2.0NRT,295.61,4.93,D
9.28148,80.71458,337.78,0.39,0.44,2026-08-26,0822,N20,nominal,2.0NRT,297.12,4.77,D
9.43152,80.36105,335.92,0.55,0.43,2026-08-26,0822,N20,nominal,2.0NRT,296.32,4.04,D
9.45475,80.49753,343.43,0.56,0.43,2026-08-26,0822,N20,nominal,2.0NRT,297.44,10.63,D
