latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
14.0693,100.36461,328.85,0.45,0.47,2026-08-26,0622,N,nominal,2.0NRT,289.46,2.15,D
14.08085,100.2808,329.03,0.45,0.47,2026-08-26,0622,N,nominal,2.0NRT,288.33,2.46,D
14.1308,100.4379,325.82,0.44,0.46,2026-08-26,0622,N,nominal,2.0NRT,287.93,1.85,D
14.13505,100.43711,331.57,0.44,0.46,2026-08-26,0622,N,nominal,2.0NRT,288.3,1.85,D
14.13336,100.43774,339.71,0.44,0.46,2026-08-26,0622,N,nominal,2.0NRT,289.29,2.18,D
14.15885,100.43298,326.7,0.44,0.46,2026-08-26,0622,N,nominal,2.0NRT,291.29,3.43,D
14.32685,100.49505,331.83,0.43,0.46,2026-08-26,0622,N,nominal,2.0NRT,286.61,3.44,D
14.35793,100.35947,341.75,0.44,0.46,2026-08-26,0622,N,nominal,2.0NRT,291.02,6.04,D
14.44234,100.25036,326.98,0.45,0.47,2026-08-26,0622,N,nominal,2.0NRT,288.53,3.16,D
14.50705,99.98993,326,0.46,0.47,2026-08-26,0622,N,nominal,2.0NRT,284.56,1.07,D
16.00461,100.05755,333.82,0.43,0.46,2026-08-26,0622,N,nominal,2.0NRT,286.3,5.34,D
16.00883,100.05672,344.41,0.43,0.46,2026-08-26,0622,N,nominal,2.0NRT,287.45,5.34,D
16.00828,100.05807,341.25,0.43,0.46,2026-08-26,0622,N,nominal,2.0NRT,287.1,7.27,D
16.06279,100.0224,337.84,0.43,0.46,2026-08-26,0622,N,nominal,2.0NRT,289.85,6.77,D
16.12089,100.10282,341.59,0.43,0.46,2026-08-26,0622,N,nominal,2.0NRT,288.68,6.15,D
16.10787,100.03038,335.54,0.43,0.46,2026-08-26,0622,N,nominal,2.0NRT,290.36,5.33,D
16.11905,100.01981,330.07,0.43,0.46,2026-08-26,0622,N,nominal,2.0NRT,289.6,3.29,D
16.12768,99.99769,341.44,0.44,0.46,2026-08-26,0622,N,nominal,2.0NRT,290.81,4.42,D
16.1824,100.05811,339.16,0.43,0.46,2026-08-26,0622,N,nominal,2.0NRT,290,4.31,D
16.1866,100.05729,328.46,0.43,0.46,2026-08-26,0622,N,nominal,2.0NRT,289.82,3.07,D
16.23972,99.90017,330.37,0.44,0.46,2026-08-26,0622,N,nominal,2.0NRT,290.8,2.48,D
16.31184,99.84407,332.78,0.44,0.46,2026-08-26,0622,N,nominal,2.0NRT,283.85,2.41,D
17.23652,99.93385,338.6,0.42,0.45,2026-08-26,0622,N,nominal,2.0NRT,282.38,3.97,D
25.08438,99.15491,327.82,0.52,0.42,2026-08-26,0627,N,low,2.0NRT,298.77,4.62,D
25.04068,98.47852,327.55,0.57,0.43,2026-08-26,0627,N,low,2.0NRT,298.31,7.39,D
26.56616,101.67531,334.03,0.4,0.37,2026-08-26,0627,N,low,2.0NRT,304.85,9.64,D
26.56954,101.67468,333.67,0.4,0.37,2026-08-26,0627,N,low,2.0NRT,301.86,8.27,D
26.57156,101.66585,331.66,0.4,0.37,2026-08-26,0627,N,low,2.0NRT,304.82,5.19,D
26.5756,101.66928,338.5,0.4,0.37,2026-08-26,0627,N,low,2.0NRT,302.93,6.71,D
28.28423,101.94744,332.66,0.39,0.36,2026-08-26,0627,N,nominal,2.0NRT,293.79,2.77,D
28.49959,97.02323,333.15,0.4,0.44,2026-08-26,0627,N,nominal,2.0NRT,295.27,3.98,D
28.49955,97.02465,329.5,0.4,0.44,2026-08-26,0627,N,nominal,2.0NRT,293.85,4.07,D
8.54511,80.56976,330.72,0.41,0.37,2026-08-26,0801,N,nominal,2.0NRT,293.93,4.23,D
8.69024,80.84766,336.1,0.4,0.37,2026-08-26,0801,N,low,2.0NRT,298.49,4.04,D
8.66969,80.53839,341.19,0.41,0.37,2026-08-26,0801,N,low,2.0NRT,299.17,11.4,D
8.77482,80.87483,340.62,0.4,0.37,2026-08-26,0801,N,low,2.0NRT,296.31,6.12,D
8.87628,80.67516,349.07,0.4,0.37,2026-08-26,0801,N,low,2.0NRT,295.63,21.83,D
8.99618,80.83887,341.16,0.4,0.37,2026-08-26,0801,N,low,2.0NRT,300.2,7.74,D
